Packet ID,Source Address,Hop Count,New Addresses Seen,Port,Protocol,flow_window_packet_count,prefix_window_packet_count,flow_window_start_time 1,flow_window_start_time 2,flow_window_start_time 3,prefix_window_start_time 1,prefix_window_start_time 2,prefix_window_start_time 3
9,0,1000000,0,7000000,1000000,9000000,18000000,280333199,280333199,280333199,280332522,280332522,280332522
11,22000000,3000000,3000000,0,1000000,11000000,32000000,278051759,278078530,278282667,278044940,278044940,278044940
1,2000000,1000000,0,9000000,1000000,1000000,19000000,280369867,280369867,280369867,280332522,280332522,280332522
10,64000000,5000000,3000000,0,1000000,10000000,30000000,278280428,278280428,278280428,278092652,278092652,278092652
10,102000000,7000000,3000000,0,1000000,10000000,30000000,278282667,278282667,278282667,278199380,278199380,278199380
10,1000000,1000000,0,8000000,1000000,10000000,20000000,280332522,280369867,280332522,280332522,280332522,280332522
10,0,1000000,0,7000000,1000000,10000000,21000000,280333199,280369867,280333199,280332522,280332522,280332522
2,2000000,1000000,0,9000000,1000000,2000000,22000000,280369867,280369867,280369867,280332522,280332522,280332522
11,1000000,1000000,0,8000000,1000000,11000000,23000000,280332522,280369867,280332522,280332522,280332522,280332522
11,0,1000000,0,7000000,1000000,11000000,24000000,280333199,280369867,280333199,280332522,280332522,280332522
3,2000000,1000000,0,9000000,1000000,3000000,25000000,280369867,280369867,280369867,280332522,280332522,280332522
12,1000000,1000000,0,8000000,1000000,12000000,26000000,280332522,280369867,280332522,280332522,280332522,280332522
12,0,1000000,0,7000000,1000000,12000000,27000000,280333199,280369867,280333199,280332522,280332522,280332522
4,2000000,1000000,0,9000000,1000000,4000000,28000000,280369867,280369867,280369867,280332522,280332522,280332522
13,1000000,1000000,0,8000000,1000000,13000000,29000000,280332522,280369867,280332522,280332522,280332522,280332522
13,0,1000000,0,7000000,1000000,13000000,30000000,280333199,280369867,280333199,280332522,280332522,280332522
5,2000000,1000000,0,9000000,1000000,5000000,31000000,280369867,280369867,280369867,280332522,280332522,280332522
14,1000000,1000000,0,8000000,1000000,14000000,32000000,280332522,280369867,280332522,280332522,280332522,280332522
14,0,1000000,0,7000000,1000000,14000000,33000000,280333199,280369867,280333199,280332522,280332522,280332522
6,2000000,1000000,0,9000000,1000000,6000000,34000000,280369867,280369867,280369867,280332522,280332522,280332522
15,1000000,1000000,0,8000000,1000000,15000000,35000000,280332522,280369867,280332522,280332522,280332522,280332522
15,0,1000000,0,7000000,1000000,15000000,36000000,280333199,280369867,280333199,280332522,280332522,280332522
7,2000000,1000000,0,9000000,1000000,7000000,37000000,280369867,280369867,280369867,280332522,280332522,280332522
16,1000000,1000000,0,8000000,1000000,16000000,38000000,280332522,280369867,280332522,280332522,280332522,280332522
16,0,1000000,0,7000000,1000000,16000000,39000000,280333199,280369867,280333199,280332522,280332522,280332522
8,2000000,1000000,0,9000000,1000000,8000000,40000000,280369867,280369867,280369867,280332522,280332522,280332522
10,82000000,6000000,3000000,0,1000000,20000000,30000000,278201013,278177610,278282667,278177610,278177610,278177610
17,1000000,1000000,0,8000000,1000000,17000000,41000000,280332522,280369867,280332522,280332522,280332522,280332522
17,0,1000000,0,7000000,1000000,17000000,42000000,280333199,280369867,280333199,280332522,280332522,280332522
9,2000000,1000000,0,9000000,1000000,9000000,43000000,280369867,280369867,280369867,280332522,280332522,280332522
18,1000000,1000000,0,8000000,1000000,18000000,44000000,280332522,280369867,280332522,280332522,280332522,280332522
18,0,1000000,0,7000000,1000000,18000000,45000000,280333199,280369867,280333199,280332522,280332522,280332522
10,2000000,1000000,0,9000000,1000000,10000000,46000000,280369867,280369867,280369867,280332522,280332522,280332522
19,1000000,1000000,0,8000000,1000000,19000000,47000000,280332522,280369867,280332522,280332522,280332522,280332522
19,0,1000000,0,7000000,1000000,19000000,48000000,280333199,280369867,280333199,280332522,280332522,280332522
11,2000000,1000000,0,9000000,1000000,11000000,49000000,280369867,280369867,280369867,280332522,280332522,280332522
20,1000000,1000000,0,8000000,1000000,20000000,50000000,280332522,280369867,280332522,280332522,280332522,280332522
20,0,1000000,0,7000000,1000000,20000000,51000000,280333199,280369867,280333199,280332522,280332522,280332522
12,2000000,1000000,0,9000000,1000000,12000000,52000000,280369867,280369867,280369867,280332522,280332522,280332522
21,0,1000000,0,7000000,1000000,21000000,53000000,280333199,280369867,280333199,280332522,280332522,280332522
21,1000000,1000000,0,8000000,1000000,21000000,54000000,280332522,280369867,280332522,280332522,280332522,280332522
13,2000000,1000000,0,9000000,1000000,13000000,55000000,280369867,280369867,280369867,280332522,280332522,280332522
11,23000000,3000000,3000000,0,1000000,11000000,33000000,278078530,278078530,278201013,278044940,278044940,278044940
22,1000000,1000000,0,8000000,1000000,22000000,56000000,280332522,280369867,280332522,280332522,280332522,280332522
22,0,1000000,0,7000000,1000000,22000000,57000000,280333199,280369867,280333199,280332522,280332522,280332522
14,2000000,1000000,0,9000000,1000000,14000000,58000000,280369867,280369867,280369867,280332522,280332522,280332522
23,1000000,1000000,0,8000000,1000000,23000000,59000000,280332522,280369867,280332522,280332522,280332522,280332522
23,0,1000000,0,7000000,1000000,23000000,60000000,280333199,280369867,280333199,280332522,280332522,280332522
15,2000000,1000000,0,9000000,1000000,15000000,61000000,280369867,280369867,280369867,280332522,280332522,280332522
11,62000000,5000000,3000000,0,1000000,21000000,31000000,278092652,278280428,278282667,278092652,278092652,278092652
24,0,1000000,0,7000000,1000000,24000000,62000000,280333199,280369867,280333199,280332522,280332522,280332522
24,1000000,1000000,0,8000000,1000000,24000000,63000000,280332522,280369867,280332522,280332522,280332522,280332522
16,2000000,1000000,0,9000000,1000000,16000000,64000000,280369867,280369867,280369867,280332522,280332522,280332522
25,0,1000000,0,7000000,1000000,25000000,65000000,280333199,280369867,280333199,280332522,280332522,280332522
25,1000000,1000000,0,8000000,1000000,25000000,66000000,280332522,280369867,280332522,280332522,280332522,280332522
17,2000000,1000000,0,9000000,1000000,17000000,67000000,280369867,280369867,280369867,280332522,280332522,280332522
26,0,1000000,0,7000000,1000000,26000000,68000000,280333199,280369867,280333199,280332522,280332522,280332522
26,1000000,1000000,0,8000000,1000000,26000000,69000000,280332522,280369867,280332522,280332522,280332522,280332522
18,2000000,1000000,0,9000000,1000000,18000000,70000000,280369867,280369867,280369867,280332522,280332522,280332522
27,0,1000000,0,7000000,1000000,27000000,71000000,280333199,280369867,280333199,280332522,280332522,280332522
27,1000000,1000000,0,8000000,1000000,27000000,72000000,280332522,280369867,280332522,280332522,280332522,280332522
19,2000000,1000000,0,9000000,1000000,19000000,73000000,280369867,280369867,280369867,280332522,280332522,280332522
28,0,1000000,0,7000000,1000000,28000000,74000000,280333199,280369867,280333199,280332522,280332522,280332522
28,1000000,1000000,0,8000000,1000000,28000000,75000000,280332522,280369867,280332522,280332522,280332522,280332522
20,2000000,1000000,0,9000000,1000000,20000000,76000000,280369867,280369867,280369867,280332522,280332522,280332522
29,0,1000000,0,7000000,1000000,29000000,77000000,280333199,280369867,280333199,280332522,280332522,280332522
29,1000000,1000000,0,8000000,1000000,29000000,78000000,280332522,280369867,280332522,280332522,280332522,280332522
21,2000000,1000000,0,9000000,1000000,21000000,79000000,280369867,280369867,280369867,280332522,280332522,280332522
30,0,1000000,0,7000000,1000000,30000000,80000000,280333199,280369867,280333199,280332522,280332522,280332522
30,1000000,1000000,0,8000000,1000000,30000000,81000000,280332522,280369867,280332522,280332522,280332522,280332522
22,2000000,1000000,0,9000000,1000000,22000000,82000000,280369867,280369867,280369867,280332522,280332522,280332522
31,0,1000000,0,7000000,1000000,31000000,83000000,280333199,280369867,280333199,280332522,280332522,280332522
31,1000000,1000000,0,8000000,1000000,31000000,84000000,280332522,280369867,280332522,280332522,280332522,280332522
23,2000000,1000000,0,9000000,1000000,23000000,85000000,280369867,280369867,280369867,280332522,280332522,280332522
32,1000000,1000000,0,8000000,1000000,32000000,86000000,280332522,280369867,280332522,280332522,280332522,280332522
32,0,1000000,0,7000000,1000000,32000000,87000000,280333199,280369867,280333199,280332522,280332522,280332522
24,2000000,1000000,0,9000000,1000000,24000000,88000000,280369867,280369867,280369867,280332522,280332522,280332522
33,0,1000000,0,7000000,1000000,33000000,89000000,280333199,280369867,280333199,280332522,280332522,280332522
33,1000000,1000000,0,8000000,1000000,33000000,90000000,280332522,280369867,280332522,280332522,280332522,280332522
25,2000000,1000000,0,9000000,1000000,25000000,91000000,280369867,280369867,280369867,280332522,280332522,280332522
11,43000000,4000000,3000000,0,1000000,11000000,32000000,278188420,278188420,278201013,278073975,278073975,278073975
11,84000000,6000000,3000000,0,1000000,11000000,31000000,278177610,278177610,278280428,278177610,278177610,278177610
34,0,1000000,0,7000000,1000000,34000000,92000000,280333199,280369867,280333199,280332522,280332522,280332522
34,1000000,1000000,0,8000000,1000000,34000000,93000000,280332522,280369867,280332522,280332522,280332522,280332522
26,2000000,1000000,0,9000000,1000000,26000000,94000000,280369867,280369867,280369867,280332522,280332522,280332522
11,44000000,4000000,3000000,0,1000000,11000000,33000000,278175307,278188420,278280428,278073975,278073975,278073975
35,0,1000000,0,7000000,1000000,35000000,95000000,280333199,280369867,280333199,280332522,280332522,280332522
35,1000000,1000000,0,8000000,1000000,35000000,96000000,280332522,280369867,280332522,280332522,280332522,280332522
27,2000000,1000000,0,9000000,1000000,27000000,97000000,280369867,280369867,280369867,280332522,280332522,280332522
36,1000000,1000000,0,8000000,1000000,36000000,98000000,280332522,280369867,280332522,280332522,280332522,280332522
36,0,1000000,0,7000000,1000000,36000000,99000000,280333199,280369867,280333199,280332522,280332522,280332522
28,2000000,1000000,0,9000000,1000000,28000000,100000000,280369867,280369867,280369867,280332522,280332522,280332522
37,1000000,1000000,0,8000000,1000000,37000000,101000000,280332522,280369867,280332522,280332522,280332522,280332522
37,0,1000000,0,7000000,1000000,37000000,102000000,280333199,280369867,280333199,280332522,280332522,280332522
29,2000000,1000000,0,9000000,1000000,29000000,103000000,280369867,280369867,280369867,280332522,280332522,280332522
