Packet ID,Source Address,Flow Inter Packet Times 1,Flow Inter Packet Times 2,Flow Inter Packet Times 3,Prefix Inter Packet Times 1,Prefix Inter Packet Times 2,Prefix Inter Packet Times 3,Hop Count,New Addresses Seen,Port
10,64000000,221385,27211,94244,27211,27211,27211,5000000,3000000,0
4,0,4459,4459,4459,4459,4459,4459,1000000,0,7000000
10,84000000,225413,34956,4233,34956,34956,34956,6000000,3000000,0
5,0,4401,4401,4401,4401,4401,4401,1000000,0,7000000
11,23000000,222270,36485,40071,36485,36485,36485,3000000,3000000,0
10,102000000,225644,102459,36228,102459,102459,102459,7000000,3000000,0
6,0,5019,5019,5019,5019,5019,5019,1000000,0,7000000
10,104000000,223229,3283,8067,3283,3283,3283,7000000,3000000,0
7,0,4131,4131,4131,4131,4131,4131,1000000,0,7000000
8,0,4428,4428,4428,4428,4428,4428,1000000,0,7000000
9,0,4464,4464,4464,4464,4464,4464,1000000,0,7000000
10,0,4417,4417,4417,4417,4417,4417,1000000,0,7000000
11,0,4427,4427,4427,4427,4427,4427,1000000,0,7000000
12,0,4439,4439,4439,4439,4439,4439,1000000,0,7000000
13,0,4142,4142,4142,4142,4142,4142,1000000,0,7000000
14,0,4696,4696,4696,4696,4696,4696,1000000,0,7000000
15,0,4507,4507,4507,4507,4507,4507,1000000,0,7000000
16,0,4833,4833,4833,4833,4833,4833,1000000,0,7000000
17,0,4167,4167,4167,4167,4167,4167,1000000,0,7000000
18,0,4642,4642,4642,4642,4642,4642,1000000,0,7000000
11,42000000,226403,161345,58084,161345,161345,161345,4000000,3000000,0
19,0,4627,4627,4627,4627,4627,4627,1000000,0,7000000
20,0,4256,4256,4256,4256,4256,4256,1000000,0,7000000
21,0,4148,4148,4148,4148,4148,4148,1000000,0,7000000
22,0,4882,4882,4882,4882,4882,4882,1000000,0,7000000
23,0,4771,4771,4771,4771,4771,4771,1000000,0,7000000
24,0,4836,4836,4836,4836,4836,4836,1000000,0,7000000
25,0,4329,4329,4329,4329,4329,4329,1000000,0,7000000
1,2000000,132980706,2852,132980706,2852,2852,2852,1000000,0,9000000
26,0,4481,1629,4481,1629,1629,1629,1000000,0,7000000
11,24000000,230037,91759,87771,91759,91759,91759,3000000,3000000,0
2,2000000,4841,3212,4841,3212,3212,3212,1000000,0,9000000
27,0,4378,1166,4378,1166,1166,1166,1000000,0,7000000
3,2000000,4154,2988,4154,2988,2988,2988,1000000,0,9000000
28,0,4067,1079,4067,1079,1079,1079,1000000,0,7000000
4,2000000,4504,3425,4504,3425,3425,3425,1000000,0,9000000
29,0,4478,1053,4478,1053,1053,1053,1000000,0,7000000
5,2000000,4440,3387,4440,3387,3387,3387,1000000,0,9000000
30,0,4625,1238,4625,1238,1238,1238,1000000,0,7000000
6,2000000,4629,3391,4629,3391,3391,3391,1000000,0,9000000
31,0,4485,1094,4485,1094,1094,1094,1000000,0,7000000
7,2000000,4219,3125,4219,3125,3125,3125,1000000,0,9000000
32,0,4168,1043,4168,1043,1043,1043,1000000,0,7000000
8,2000000,4417,3374,4417,3374,3374,3374,1000000,0,9000000
33,0,4418,1044,4418,1044,1044,1044,1000000,0,7000000
11,43000000,244267,64724,123513,64724,64724,64724,4000000,3000000,0
9,2000000,4503,3459,4503,3459,3459,3459,1000000,0,9000000
34,0,4456,997,4456,997,997,997,1000000,0,7000000
10,2000000,4302,3305,4302,3305,3305,3305,1000000,0,9000000
35,0,4415,1110,4415,1110,1110,1110,1000000,0,7000000
1,1000000,133023272,1447,133023272,1447,1447,1447,1000000,0,8000000
10,103000000,233704,127962,8437,127962,127962,127962,7000000,3000000,0
11,2000000,4587,2030,4587,2030,2030,2030,1000000,0,9000000
36,0,4716,1239,4716,1239,1239,1239,1000000,0,7000000
11,44000000,237943,11874,43628,11874,11874,11874,4000000,3000000,0
2,1000000,4478,1209,4478,1209,1209,1209,1000000,0,8000000
12,2000000,4441,1993,4441,1993,1993,1993,1000000,0,9000000
37,0,4331,1129,4331,1129,1129,1129,1000000,0,7000000
3,1000000,4247,1125,4247,1125,1125,1125,1000000,0,8000000
13,2000000,4400,2146,4400,2146,2146,2146,1000000,0,9000000
38,0,4505,1234,4505,1234,1234,1234,1000000,0,7000000
4,1000000,4248,868,4248,868,868,868,1000000,0,8000000
14,2000000,4444,2342,4444,2342,2342,2342,1000000,0,9000000
39,0,4453,1243,4453,1243,1243,1243,1000000,0,7000000
5,1000000,4236,651,4236,651,651,651,1000000,0,8000000
15,2000000,4510,2616,4510,2616,2616,2616,1000000,0,9000000
40,0,4250,983,4250,983,983,983,1000000,0,7000000
6,1000000,4547,948,4547,948,948,948,1000000,0,8000000
16,2000000,4488,2557,4488,2557,2557,2557,1000000,0,9000000
41,0,4565,1060,4565,1060,1060,1060,1000000,0,7000000
7,1000000,3975,358,3975,358,358,358,1000000,0,8000000
17,2000000,4603,3185,4603,3185,3185,3185,1000000,0,9000000
42,0,4683,1140,4683,1140,1140,1140,1000000,0,7000000
8,1000000,4605,280,4605,280,280,280,1000000,0,8000000
18,2000000,4385,2965,4385,2965,2965,2965,1000000,0,9000000
43,0,4427,1182,4427,1182,1182,1182,1000000,0,7000000
9,1000000,4356,209,4356,209,209,209,1000000,0,8000000
19,2000000,4353,2962,4353,2962,2962,2962,1000000,0,9000000
44,0,4383,1212,4383,1212,1212,1212,1000000,0,7000000
10,1000000,4382,208,4382,208,208,208,1000000,0,8000000
20,2000000,4415,2995,4415,2995,2995,2995,1000000,0,9000000
45,0,4144,941,4144,941,941,941,1000000,0,7000000
11,1000000,4152,216,4152,216,216,216,1000000,0,8000000
21,2000000,4145,2988,4145,2988,2988,2988,1000000,0,9000000
46,0,4463,1259,4463,1259,1259,1259,1000000,0,7000000
12,1000000,4330,83,4330,83,83,83,1000000,0,8000000
11,83000000,217479,186035,50006,186035,186035,186035,6000000,3000000,0
22,2000000,4491,3149,4491,3149,3149,3149,1000000,0,9000000
47,0,4694,1462,4694,1462,1462,1462,1000000,0,7000000
13,1000000,4833,222,4833,222,222,222,1000000,0,8000000
11,63000000,223562,192839,2571,192839,192839,192839,5000000,3000000,0
11,82000000,204,2775,125942,2775,2775,2775,6000000,3000000,0
23,2000000,4409,2725,4409,2725,2725,2725,1000000,0,9000000
14,1000000,3985,1260,3985,1260,1260,1260,1000000,0,8000000
48,0,4413,206,4413,206,206,206,1000000,0,7000000
24,2000000,4287,2821,4287,2821,2821,2821,1000000,0,9000000
12,22000000,228497,100253,7281,100253,100253,100253,3000000,3000000,0
15,1000000,4336,1309,4336,1309,1309,1309,1000000,0,8000000
49,0,4343,213,4343,213,213,213,1000000,0,7000000
11,62000000,11315,8744,1259,8744,8744,8744,5000000,3000000,0
25,2000000,4264,2742,4264,2742,2742,2742,1000000,0,9000000
50,0,4330,1588,4330,1588,1588,1588,1000000,0,7000000
16,1000000,4746,203,4746,203,203,203,1000000,0,8000000
26,2000000,4270,2479,4270,2479,2479,2479,1000000,0,9000000
17,1000000,4183,1704,4183,1704,1704,1704,1000000,0,8000000
51,0,4595,209,4595,209,209,209,1000000,0,7000000
27,2000000,4296,2383,4296,2383,2383,2383,1000000,0,9000000
18,1000000,4097,1505,4097,1505,1505,1505,1000000,0,8000000
52,0,4147,259,4147,259,259,259,1000000,0,7000000
28,2000000,4251,2487,4251,2487,2487,2487,1000000,0,9000000
19,1000000,4212,1466,4212,1466,1466,1466,1000000,0,8000000
53,0,4420,467,4420,467,467,467,1000000,0,7000000
29,2000000,4426,2493,4426,2493,2493,2493,1000000,0,9000000
20,1000000,4284,1324,4284,1324,1324,1324,1000000,0,8000000
54,0,4399,582,4399,582,582,582,1000000,0,7000000
30,2000000,4336,2430,4336,2430,2430,2430,1000000,0,9000000
21,1000000,4208,1196,4208,1196,1196,1196,1000000,0,8000000
55,0,4417,791,4417,791,791,791,1000000,0,7000000
31,2000000,4672,2685,4672,2685,2685,2685,1000000,0,9000000
22,1000000,4314,838,4314,838,838,838,1000000,0,8000000
11,64000000,231149,29566,87450,29566,29566,29566,5000000,3000000,0
11,84000000,227430,38620,514,38620,38620,38620,6000000,3000000,0
56,0,4544,1021,4544,1021,1021,1021,1000000,0,7000000
32,2000000,3857,1998,3857,1998,1998,1998,1000000,0,9000000
23,1000000,4459,1440,4459,1440,1440,1440,1000000,0,8000000
57,0,4052,614,4052,614,614,614,1000000,0,7000000
33,2000000,4489,2435,4489,2435,2435,2435,1000000,0,9000000
12,23000000,230181,38169,45654,38169,38169,38169,3000000,3000000,0
24,1000000,4010,961,4010,961,961,961,1000000,0,8000000
11,102000000,230812,99567,38246,99567,99567,99567,7000000,3000000,0
58,0,4632,1236,4632,1236,1236,1236,1000000,0,7000000
34,2000000,4693,2496,4693,2496,2496,2496,1000000,0,9000000
25,1000000,4393,661,4393,661,661,661,1000000,0,8000000
59,0,4411,1254,4411,1254,1254,1254,1000000,0,7000000
11,104000000,233842,6313,14479,6313,6313,6313,7000000,3000000,0
35,2000000,4462,2547,4462,2547,2547,2547,1000000,0,9000000
26,1000000,4202,401,4202,401,401,401,1000000,0,8000000
60,0,4409,1461,4409,1461,1461,1461,1000000,0,7000000
