Packet ID,Source Address,Flow Inter Packet Times,Prefix Inter Packet Times,Hop Count,New Addresses Seen,Port
424,1000000,209,209,1000000,0,8000000
428,1000000,218,218,1000000,0,8000000
430,1000000,219,219,1000000,0,8000000
432,1000000,197,197,1000000,0,8000000
433,1000000,192,192,1000000,0,8000000
435,1000000,192,192,1000000,0,8000000
437,1000000,195,195,1000000,0,8000000
438,1000000,203,203,1000000,0,8000000
440,1000000,191,191,1000000,0,8000000
442,1000000,194,194,1000000,0,8000000
443,1000000,197,197,1000000,0,8000000
445,1000000,195,195,1000000,0,8000000
447,1000000,211,211,1000000,0,8000000
449,1000000,193,193,1000000,0,8000000
450,1000000,289,289,1000000,0,8000000
452,1000000,306,306,1000000,0,8000000
11,22000000,228951,19359,3000000,3000000,0
453,1000000,435,435,1000000,0,8000000
456,1000000,234,234,1000000,0,8000000
457,1000000,205,205,1000000,0,8000000
459,1000000,209,209,1000000,0,8000000
460,1000000,221,221,1000000,0,8000000
462,1000000,210,210,1000000,0,8000000
464,1000000,206,206,1000000,0,8000000
465,1000000,212,212,1000000,0,8000000
467,1000000,210,210,1000000,0,8000000
469,1000000,220,220,1000000,0,8000000
470,1000000,211,211,1000000,0,8000000
472,1000000,210,210,1000000,0,8000000
474,1000000,212,212,1000000,0,8000000
476,1000000,216,216,1000000,0,8000000
477,1000000,212,212,1000000,0,8000000
479,1000000,203,203,1000000,0,8000000
481,1000000,205,205,1000000,0,8000000
483,1000000,211,211,1000000,0,8000000
484,1000000,220,220,1000000,0,8000000
486,1000000,215,215,1000000,0,8000000
488,1000000,203,203,1000000,0,8000000
489,1000000,207,207,1000000,0,8000000
490,1000000,210,210,1000000,0,8000000
492,1000000,220,220,1000000,0,8000000
493,1000000,210,210,1000000,0,8000000
495,1000000,264,264,1000000,0,8000000
496,1000000,233,233,1000000,0,8000000
498,1000000,226,226,1000000,0,8000000
500,1000000,208,208,1000000,0,8000000
501,1000000,204,204,1000000,0,8000000
503,1000000,208,208,1000000,0,8000000
506,1000000,214,214,1000000,0,8000000
509,1000000,226,226,1000000,0,8000000
511,1000000,213,213,1000000,0,8000000
513,1000000,206,206,1000000,0,8000000
515,1000000,213,213,1000000,0,8000000
516,1000000,214,214,1000000,0,8000000
517,1000000,209,209,1000000,0,8000000
519,1000000,210,210,1000000,0,8000000
521,1000000,201,201,1000000,0,8000000
522,1000000,211,211,1000000,0,8000000
524,1000000,218,218,1000000,0,8000000
526,1000000,216,216,1000000,0,8000000
527,1000000,222,222,1000000,0,8000000
529,1000000,219,219,1000000,0,8000000
531,1000000,216,216,1000000,0,8000000
532,1000000,207,207,1000000,0,8000000
534,1000000,208,208,1000000,0,8000000
536,1000000,216,216,1000000,0,8000000
538,1000000,214,214,1000000,0,8000000
539,1000000,213,213,1000000,0,8000000
541,1000000,218,218,1000000,0,8000000
543,1000000,208,208,1000000,0,8000000
544,1000000,208,208,1000000,0,8000000
546,1000000,208,208,1000000,0,8000000
547,1000000,275,275,1000000,0,8000000
549,1000000,280,280,1000000,0,8000000
551,1000000,205,205,1000000,0,8000000
